           Type       Radiance          cd/m2
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Components        Average
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value       89.00876          cd/m2

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Statistics
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            Min       0.000000          cd/m2
            Max       32508.01          cd/m2
 Total_Rad_Flux       3.209348              W
 Total_Lum_Flux       1118.517             lm

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Resolution         Pixels          Units
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Horizontal             21              m
       Vertical             21              m


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value          index              1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21
          index            y\x     0.04761905      0.1428571      0.2380952      0.3333333      0.4285714      0.5238095      0.6190476      0.7142857      0.8095238      0.9047619       1.000000       1.095238       1.190476       1.285714       1.380952       1.476190       1.571429       1.666667       1.761905       1.857143       1.952381
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              1     0.04761905       0.000000       0.000000       0.000000       0.000000       0.000000      0.3916437       0.000000       0.000000      0.3916437       0.000000       0.000000      0.7832875      0.9054133       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000
              2      0.1428571      0.7832875       1.174931       0.000000      0.7832875       0.000000      0.7832875       0.000000      0.9054133      0.3916437      0.3916437       0.000000       1.297057       0.000000      0.7832875       0.000000      0.5137695      0.3916437       0.000000       0.000000       1.027539       0.000000
              3      0.2380952       0.000000      0.3916437       0.000000       1.297057      0.3916437      0.3916437      0.3916437       0.000000       0.000000       0.000000       0.000000       0.000000      0.5137695      0.9054133      0.3916437       0.000000       0.000000       0.000000      0.5137695      0.3916437      0.3916437
              4      0.3333333       0.000000       1.174931       1.566575      0.7832875      0.7832875      0.3916437       0.000000      0.3916437       0.000000      0.3916437      0.7832875       0.000000       1.688701      0.7832875       0.000000      0.3916437      0.5137695       0.000000      0.9054133       0.000000       0.000000
              5      0.4285714      0.7832875       1.174931      0.5137695       0.000000      0.7832875      0.3916437      0.3916437      0.3916437      0.7832875      0.7832875      0.3916437      0.7832875      0.5137695       0.000000      0.9054133       1.810827      0.5137695      0.9054133       0.000000      0.3916437      0.5137695
              6      0.5238095      0.7832875      0.7832875      0.3916437       1.174931       1.297057       1.174931      0.7832875      0.7832875      0.7832875      0.3916437      0.9054133       0.000000       0.000000       1.810827      0.3916437      0.5137695      0.5137695       0.000000       0.000000       0.000000      0.3916437
              7      0.6190476       2.349862       1.174931       2.349862      0.7832875       1.958219       1.174931      0.3916437       2.471988      0.7832875      0.3916437       1.174931       1.297057       1.297057       1.174931       2.471988       1.297057      0.3916437       0.000000      0.5137695      0.5137695       1.932952
              8      0.7142857       2.349862       2.471988       1.297057       2.349862       1.566575       3.524794       1.958219       1.566575       3.133150       1.958219       3.255276      0.3916437       1.688701      0.9054133       1.297057       1.297057       0.000000       0.000000      0.3916437      0.3916437      0.5137695
              9      0.8095238       3.524794       5.091369       5.996782       3.133150       3.524794       4.038563       5.605138       4.699725       2.741506       4.308081       3.524794       2.471988       2.863632       1.027539       1.541309       1.932952       0.000000      0.9054133       0.000000      0.7832875      0.5137695
             10      0.9047619       4.308081       7.441231       9.791094       13.04637       6.266300       9.791094       9.007806       12.92424       7.049587       10.69651       5.213494       2.863632       1.810827       1.810827       2.838366       1.541309       3.352135      0.5137695       1.932952       2.055078      0.7832875
             11       1.000000       32.89807       40.33931       37.59780       43.47246       41.90588       39.94766       41.90588       45.43067       45.94444       44.23048       20.09596       3.769045       5.849390       5.920983       4.649192       3.352135       4.649192       3.474261       1.541309       2.055078       1.027539
             12       1.095238       52.48026       74.02067       59.52985       69.32094       66.18779       64.22957       59.13821       61.09642       66.04040       59.13821       35.22267       12.21255       4.135423       6.948522       7.853935       11.05868       6.043108       7.462291       4.257548       4.501800      0.5137695
             13       1.190476       61.48807       65.01286       68.26814       64.22957       79.11204       66.43204       80.67861       70.88752       74.77869       69.95684       33.38658       13.24009       14.12023       10.69230       21.87310       26.98553       20.82030       17.46816       6.948522       3.596387       2.055078
             14       1.285714       59.52985       69.71259       67.75437       76.76217       74.80395       81.85354       64.74334       68.26814       70.34848       67.09321       43.03028       9.593168       15.34149       24.56408       64.00220       94.28934       92.74803       48.68598       20.42865       9.639495       2.960491
