           Type     Irradiance           W/m2
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Components        Average
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value      0.8349155           W/m2

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Statistics
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
            Min      0.2342160           W/m2
            Max       1.992036           W/m2
 Total_Rad_Flux       5.009493              W
 Total_Lum_Flux       914.0195             lm

---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Resolution         Pixels          Units
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Horizontal             21              m
       Vertical             31              m


---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Value          index              1              2              3              4              5              6              7              8              9             10             11             12             13             14             15             16             17             18             19             20             21
          index            y\x     0.04761905      0.1428571      0.2380952      0.3333333      0.4285714      0.5238095      0.6190476      0.7142857      0.8095238      0.9047619       1.000000       1.095238       1.190476       1.285714       1.380952       1.476190       1.571429       1.666667       1.761905       1.857143       1.952381
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
              1     0.04838710      0.2342160      0.2402168      0.2515260      0.2676821      0.2715595      0.2747907      0.2893311      0.2900235      0.2987939      0.3100570      0.3101031      0.3187812      0.3336447      0.3311521      0.3356758      0.3380761      0.3534012      0.3458772      0.3529396      0.3433383      0.3492468
              2      0.1451613      0.2427556      0.2570191      0.2674974      0.2805607      0.2840689      0.2981938      0.3065488      0.3110263      0.3199352      0.3242743      0.3362759      0.3395532      0.3506316      0.3486468      0.3516010      0.3553400      0.3716345      0.3652644      0.3700650      0.3794817      0.3786969
              3      0.2419355      0.2586347      0.2709133      0.2806069      0.2931624      0.3067796      0.3155962      0.3200275      0.3264438      0.3336447      0.3494315      0.3597713      0.3647104      0.3628179      0.3705266      0.3922218      0.3902831      0.3936528      0.3906062      0.4035772      0.4045004      0.4092549
              4      0.3387097      0.2785758      0.2799606      0.3020713      0.3124111      0.3221047      0.3296750      0.3387223      0.3496161      0.3580634      0.3642027      0.3819743      0.3850209      0.3924065      0.4000690      0.4081009      0.4161789      0.4189946      0.4273496      0.4344583      0.4362123      0.4250878
              5      0.4354839      0.2932547      0.3131035      0.3150884      0.3308290      0.3359989      0.3467542      0.3613869      0.3771737      0.3779122      0.3926373      0.4034387      0.4146094      0.4245339      0.4252263      0.4394897      0.4410130      0.4507066      0.4454444      0.4609541      0.4663548      0.4684782
              6      0.5322581      0.3055794      0.3233972      0.3335986      0.3468004      0.3595405      0.3684956      0.3875597      0.3974841      0.4049158      0.4195486      0.4339505      0.4457213      0.4472446      0.4610464      0.4743867      0.4811722      0.4837572      0.4878654      0.4997286      0.4981591      0.4981591
              7      0.6290323      0.3185043      0.3368759      0.3584788      0.3648951      0.3743579      0.3863133      0.4000690      0.4267495      0.4365816      0.4519068      0.4682474      0.4722633      0.4865729      0.4956203      0.5048062      0.5205467      0.5133919      0.5303327      0.5292710      0.5369335      0.5250704
              8      0.7258065      0.3422305      0.3534012      0.3692803      0.3868673      0.4030694      0.4201948      0.4321503      0.4458136      0.4626620      0.4690321      0.4826955      0.5022674      0.5237318      0.5259475      0.5307943      0.5530896      0.5604752      0.5561823      0.5642603      0.5620446      0.5596443
              9      0.8225806      0.3621255      0.3740809      0.3923603      0.4100396      0.4188100      0.4386127      0.4582307      0.4797413      0.4842649      0.5083605      0.5187003      0.5410879      0.5570593      0.5634294      0.5844784      0.5946336      0.6054350      0.6024346      0.6199293      0.6179906      0.6205755
             10      0.9193548      0.3789277      0.3968378      0.4054698      0.4313655      0.4457675      0.4678320      0.4911889      0.5038368      0.5215161      0.5434421      0.5591365      0.5808779      0.5889559      0.6043734      0.6225142      0.6289767      0.6403782      0.6531645      0.6515028      0.6614733      0.6592576
             11       1.016129      0.3975764      0.4240723      0.4363047      0.4578614      0.4723557      0.4976052      0.5120071      0.5277477      0.5621369      0.5748771      0.6000343      0.6251915      0.6306384      0.6550571      0.6697360      0.6816453      0.6914773      0.6964626      0.7031097      0.7005709      0.7133572
             12       1.112903      0.4175175      0.4342275      0.4622004      0.4784488      0.4988977      0.5232702      0.5515201      0.5778775      0.5958337      0.6105588      0.6421323      0.6527952      0.6775370      0.6946624      0.7124802      0.7277130      0.7299287      0.7472387      0.7633947      0.7665336      0.7595172
